410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,slope_IR_VIS,label
1.8198198780537904,1.6551724986321636,1.611510715282526,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6063675670831894,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.611510715282526,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,1.2820512637831567,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,1.2820512637831567,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.1250000078378442,0.707435584898097,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6063675670831894,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.1250000078378442,0.707435584898097,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6063675670831894,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,1.2820512637831567,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6063675670831894,1.499999956986387,1.4102563463179714,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,1.4102563463179714,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.638591186880566,1.6265060120853452,1.6208393104540746,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,1.2820512637831567,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8198198780537904,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6208393104540746,1.499999956986387,1.4102563463179714,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7434068710435651,PP
1.8288287820884053,1.6551724986321636,1.6043164607541598,1.6894197440149188,1.6999999653164115,1.5522388200161348,1.6232772683969166,1.6265060120853452,1.6063675670831894,1.499999956986387,2.1794871703531165,1.3571428860258126,1.384615399175338,1.3333333661550386,1.5000000567933154,1.5228426318969834,1.3333332566794118,1.249999952972935,0.7414845752060275,PP
